style,name,alpha_acid,substitutions,description
English & Scottish Strong Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
English & Scottish Strong Ale,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
English & Scottish Strong Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
English & Scottish Strong Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
English & Scottish Strong Ale,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
English & Scottish Strong Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
English & Scottish Strong Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
English & Scottish Strong Ale,Northwest Golding,4-5%,,Known for aromatic properties.
English & Scottish Strong Ale,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
English & Scottish Strong Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
English & Scottish Strong Ale,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
English & Scottish Strong Ale,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
English & Scottish Strong Ale,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
English & Scottish Strong Ale,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
English & Scottish Strong Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
English & Scottish Strong Ale,Styrian Bobek,3.5-7%,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type."
English & Scottish Strong Ale,Styrian Celeia,3-6%,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities."
English & Scottish Strong Ale,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
English & Scottish Strong Ale,Super Alpha (New Zealand),10-12%,,"Earthy, piney bittering hop."
English & Scottish Strong Ale,Super Pride (Australia),14%,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.
English & Scottish Strong Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
English & Scottish Strong Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
English & Scottish Strong Ale,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
English & Scottish Strong Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
English Bitter & Pale Ale,Admiral (U.K.),13.5-16%,"U.K. Challenger, U.K. Northdown, U.K. Target",Known for its bittering potential.
English Bitter & Pale Ale,Apollo,15-19%,Zeus,A high alpha acid varietal known for its disease resistance.
English Bitter & Pale Ale,Boadicea (U.K.),8-9%,,spicy
English Bitter & Pale Ale,Bobeck (Slovenia),3.5-7%,U.K. Fuggle,
English Bitter & Pale Ale,Bramling Cross (U.K.),5-7%,"U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety","Quite mild, fruity currant aroma."
English Bitter & Pale Ale,Brewer's Gold (U.S.),7-10%,Bullion,Bittering hop with neutral aroma character.
English Bitter & Pale Ale,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
English Bitter & Pale Ale,Bullion (U.K.),6.5-9%,"Columbus, Northern Brewer",A rich hop primarily used for bittering. Intense blackcurrant aroma.
English Bitter & Pale Ale,Cascade (Argentina),3-5%,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.
English Bitter & Pale Ale,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
English Bitter & Pale Ale,Challenger (U.K.),6.5-8.5%,"Northern Brewer, U.S. or German Perle","Mild to moderate, quite spicy."
English Bitter & Pale Ale,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
English Bitter & Pale Ale,First Gold (U.K.),6.5-8.5%,"maybe Crystal, U.K. Kent Golding",A little like Golding family; spicy.
English Bitter & Pale Ale,Fuggle (U.K.),4-5.5%,"Styrian Golding, U.S. Fuggle, Willamette","Mild, pleasant, hoppy, and robust."
English Bitter & Pale Ale,Fuggle (U.S.),4-5.5%,"Styrian Golding, U.K. Fuggle, U.S. Tettnanger, Willamette","Mild and pleasant, earthy and fruity."
English Bitter & Pale Ale,Galena,10-14%,"Chinook, Nugget, Pride of Ringwood","Medium but pleasant hoppiness, citrusy."
English Bitter & Pale Ale,Glacier (U.S.),5-9%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger, Willamette",Dual purpose hop with a citrus earthy aroma.
English Bitter & Pale Ale,Golding (U.S.),4-6%,"U.K. Golding, U.K. Progress, Whitbread Golding Variety","Mild, extremely pleasant, and gently hoppy."
English Bitter & Pale Ale,Herald (U.K.),11-13%,,New dual-purpose hop
English Bitter & Pale Ale,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
English Bitter & Pale Ale,Kent Golding (U.K.),4-5.5%,"U.K. Progress, U.S. Golding, Whitbread Golding Variety","Gentle, fragrant, and pleasant."
English Bitter & Pale Ale,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
English Bitter & Pale Ale,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
English Bitter & Pale Ale,Nelson Sauvin (New Zealand),12-14%,,"Distinctive white wine ""fruitiness,"" gooseberry. Considered by some as ""extreme,"" this hop is often used in specialty craft and seasonal beers."
English Bitter & Pale Ale,Newport,13-17%,"Galena, Nugget",Fairly pungent.
English Bitter & Pale Ale,Northdown (U.K.),7.5-9.5%,,Fruity with some spiciness.
English Bitter & Pale Ale,Northern Brewer (German),7-10%,"Chinook, U.S. Northern Brewer",Medium-strong with some wild tones.
English Bitter & Pale Ale,Northern Brewer (U.S.),6-10%,"Chinook, Nugget",Medium-strong with some wild tones.
English Bitter & Pale Ale,Northwest Golding,4-5%,,Known for aromatic properties.
English Bitter & Pale Ale,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
English Bitter & Pale Ale,Pacific Gem (New Zealand),13-15%,Galena,Bittering hop with delicate blackberry and floral oak. Pleasant aroma and high bitterness level.
English Bitter & Pale Ale,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
English Bitter & Pale Ale,Phoenix (U.K.),9-13%,"U.K. Challenger, U.K. Kent Golding, U.K. Northdown","Dual purpose hop with aromas of pine, chocolate, molasses, and floral."
English Bitter & Pale Ale,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
English Bitter & Pale Ale,Pioneer (U.K.),8-10%,U.K. Kent Golding,"A mild, typical English aroma."
English Bitter & Pale Ale,Pride of Ringwood (Australia),7-10%,"Cluster, Galena","Quite pronounced, woody, earthy, herbal."
English Bitter & Pale Ale,Progress (U.K.),5-7.5%,"Fuggle, U.K. Kent Golding","Moderately strong, good aroma."
English Bitter & Pale Ale,Satus,12.5-14%,Galena,Known for its bittering and aromatic properties.
English Bitter & Pale Ale,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
English Bitter & Pale Ale,Styrian Aurora,7-9.5%,"Northern Brewer, Styrian Golding, U.S. Styrian Bobek","Intense, pleasant and hoppy. Very suitable for extraction and for combination with other varieties in the brewing process."
English Bitter & Pale Ale,Styrian Bobek,3.5-7%,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type."
English Bitter & Pale Ale,Styrian Celeia,3-6%,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities."
English Bitter & Pale Ale,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
English Bitter & Pale Ale,Super Pride (Australia),14%,Pride of Ringwood,A high alpha variety bred from Pride of Ringwood.
English Bitter & Pale Ale,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
English Bitter & Pale Ale,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
English Bitter & Pale Ale,WGV (Whitbread Golding Variety) (U.K.),5-7%,"Glacier, Styrian Golding, U.K. Kent Golding, U.K. Progress, U.K. Target","Quite pleasant and hoppy, moderately intense, slightly spicy."
English Bitter & Pale Ale,Willamette,3.5-6%,"Styrian Golding, U.S. Fuggle, U.S. Tettnanger","Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
European Dark Larger,Aurora (Slovenia),6-8%,Northern Brewer,
European Dark Larger,Boadicea (U.K.),8-9%,,spicy
European Dark Larger,Brewer's Gold (German),6-7%,"Bullion, Galena, Northdown, Northern Brewer","Black currant, fruity, spicy."
European Dark Larger,Cascade (Argentina),3-5%,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.
European Dark Larger,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
European Dark Larger,Crystal,2-4.5%,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery."
European Dark Larger,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
European Dark Larger,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
European Dark Larger,Herkules (German),12-17%,,bittering hop
European Dark Larger,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
European Dark Larger,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
European Dark Larger,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
European Dark Larger,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
European Dark Larger,Marynka (Poland),9-12%,,New hop variety with intense aroma
European Dark Larger,Merkur (German),12-15%,Magnum,"high-alpha, bittering hop"
European Dark Larger,Motueka (New Zealand),6.5-7.5%,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy."
European Dark Larger,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
European Dark Larger,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
European Dark Larger,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
European Dark Larger,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
European Dark Larger,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
European Dark Larger,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
European Dark Larger,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
European Dark Larger,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
European Dark Larger,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
European Dark Larger,Select (German),4-6%,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma
European Dark Larger,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
European Dark Larger,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
European Dark Larger,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
European Dark Larger,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
European Dark Larger,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
European Dark Larger,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
European Dark Larger,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
European Dark Larger,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
European Dark Larger,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
European Dark Larger,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
European Dark Larger,Taurus (German),12-17%,Magnum,high-alpha hop
European Dark Larger,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
European Dark Larger,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
European Dark Larger,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
European Pale Larger,Aurora (Slovenia),6-8%,Northern Brewer,
European Pale Larger,Boadicea (U.K.),8-9%,,spicy
European Pale Larger,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
European Pale Larger,Crystal,2-4.5%,"French Strisslespalt, Hallertauer, Hersbrucker, Liberty, Mt. Hood","Mild and pleasant, spicy and flowery."
European Pale Larger,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
European Pale Larger,Ella (Australia),13.3-16.3%,,"Dual purpose hop that displays floral and subtle spice notes. When used as a late addition or dry hop, it imparts grapefruit and topical flavors."
European Pale Larger,Green Bullet (New Zealand),11-14%,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.
European Pale Larger,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
European Pale Larger,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
European Pale Larger,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
European Pale Larger,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
European Pale Larger,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
European Pale Larger,Herkules (German),12-17%,,bittering hop
European Pale Larger,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
European Pale Larger,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
European Pale Larger,Idaho (U.S.),12-15%,,"A dual-purpose variety with flavors and aromas of tropical fruit, orange, apricot, black tea, pine, and herbs."
European Pale Larger,Jarrylo™ (U.S.),15-17%,,"A high-alpha hop, the flavor imparts a mild sweetness and a tea-like spice, with flavors and aromas of banana, pear, spice, and herbal notes."
European Pale Larger,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
European Pale Larger,Lublin (Poland),3-4.5%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger","Mild and typical of noble aroma types, spicy, herbal."
European Pale Larger,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
European Pale Larger,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
European Pale Larger,Marynka (Poland),9-12%,,New hop variety with intense aroma
European Pale Larger,Merkur (German),12-15%,Magnum,"high-alpha, bittering hop"
European Pale Larger,Millenium,12-15%,Nugget,"Mild, herbal, similar to Nugget."
European Pale Larger,Motueka (New Zealand),6.5-7.5%,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy."
European Pale Larger,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
European Pale Larger,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
European Pale Larger,Pacific Jade (New Zealand),12-14%,,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
European Pale Larger,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
European Pale Larger,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
European Pale Larger,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
European Pale Larger,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
European Pale Larger,Premiant (Czech),8-12.5%,,A dual purpose variety with a balanced bitterness and slightly spicy aroma
European Pale Larger,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
European Pale Larger,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
European Pale Larger,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
European Pale Larger,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
European Pale Larger,Select (German),4-6%,"Czech Saaz, German Spalt, Tettnanger",noble-type aroma
European Pale Larger,Sladek (Czech),5-6%,"Czech Saaz, U.S. Saaz, U.S. Tettnanger",A dual-purpose Saaz hybrid.
European Pale Larger,Southern Cross (New Zealand),11-14%,,"Piney, resinous bittering hop"
European Pale Larger,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
European Pale Larger,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
European Pale Larger,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
European Pale Larger,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
European Pale Larger,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
European Pale Larger,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
European Pale Larger,Styrian Bobek,3.5-7%,"Styrian Golding, U.K. Fuggle, U.S. Fuggle, Willamette","Intense, pleasant hop aroma. Similar to Fuggle type."
European Pale Larger,Styrian Celeia,3-6%,"Saaz, Slovenia Bobeck, Styrian Golding","Pleasant, hoppy. A high-quality aroma variety with excellent bitterness and aroma qualities."
European Pale Larger,Styrian Golding (Slovenia),4.5-6%,"U.K. Fuggle, U.S. Fuggle, Willamette","Delicate, slightly spicy."
European Pale Larger,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
European Pale Larger,Taurus (German),12-17%,Magnum,high-alpha hop
European Pale Larger,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
European Pale Larger,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
European Pale Larger,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
European Pale Larger,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
European Pale Larger,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
European Pale Larger,Wakatu (New Zealand),NA,"Hallertauer Mittelfrüh, Nelson Sauvin","Wakatu features floral aromas, as well as notes of fresh lime zest, citrus oils, and has a Mittlefrüh-style sweetness."
Fruit Beer,Boadicea (U.K.),8-9%,,spicy
Fruit Beer,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
Fruit Beer,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
Fruit Beer,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Fruit Beer,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
Fruit Beer,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
Fruit Beer,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
Fruit Beer,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
Fruit Beer,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
Fruit Beer,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
Fruit Beer,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
Fruit Beer,Opal (German),5-8%,Styrian Golding,German dual-purpose hop
Fruit Beer,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
Fruit Beer,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
Fruit Beer,Pilgrim (U.K.),9-13%,"U.K. Challenger, U.K. Target","Dual purpose hop with citrusy, fruity, spicy, and lemon aromas."
Fruit Beer,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Fruit Beer,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
Fruit Beer,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
Fruit Beer,Saphir (German),2.5-4.5%,Any noble hops,Mild aroma hop.
Fruit Beer,Smaragd (German),4-6%,,Fruity and floral aromas.
Fruit Beer,Sorachi Ace (Japan),13-16%,,Bittering hop with lemony aroma
Fruit Beer,Sovereign (U.K.),5-6%,U.K. Fuggle,mild flavor
Fruit Beer,Spalt (German),4-5.5%,"German Spalt Select, U.S. Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy."
Fruit Beer,Spalt Select (German),4-6%,"German Spalt, U.S. Saaz, U.S. Tettnanger",Very fine Spalter-type aroma.
Fruit Beer,Spalt Select (U.S.),3-5%,"Saaz, Tettnanger",Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Fruit Beer,Sterling,6-9%,Saaz,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Fruit Beer,Strisslespalt (France),3-5%,"Crystal, Hersbrucker, Mt. Hood","Medium intensity, pleasant, hoppy."
Fruit Beer,Target (U.K.),9.5-12.5%,"Fuggle, Willamette","Pleasant English hop aroma, quite intense."
Fruit Beer,Tettnanger (German),3.5-5.5%,"German Spalt, German Spalt Select, Saaz, U.S. Tettnanger","Mild and pleasant, slightly spicy, herbal."
Fruit Beer,Tettnanger (U.S.),3.4-5.2%,"Czech Saaz, German Spalt, Santiam","An aromatic hop, mild and slightly spicy."
Fruit Beer,Tradition (German),5-7%,"Hallertauer Mittelfrüh, Hersbrucker",Very fine and similar to Hallertauer Mittelfrüh.
Fruit Beer,Ultra,2-4.1%,"Hallertauer Tradition, Liberty, Saaz","Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Fruit Beer,Vanguard,4-5.7%,"Hallertauer Mittelfrüh, Saaz",Aroma similar to continental European types.
German Amber Lager,Aurora (Slovenia),6-8%,Northern Brewer,
German Amber Lager,Boadicea (U.K.),8-9%,,spicy
German Amber Lager,Cascade (Argentina),3-5%,Any noble hops,Different than US grown Cascades with more of a spicy flavor and lemony aroma.
German Amber Lager,Celeia (Slovenia),3-6%,Styrian Golding,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
German Amber Lager,El Dorado (U.S.),14-16%,,"Dual purpose hop with fruity, tropical flavors."
German Amber Lager,Green Bullet (New Zealand),11-14%,"Crystal, Hallertauer Tradition, Liberty, Mt. Hood, Ultra",Dual purpose hop.
German Amber Lager,Hallertau Aroma (New Zealand),6.5-8.5%,Perle,A dual purpose hop which has been used to replace Perle
German Amber Lager,Hallertauer (U.S.),3.5-5.5%,"Hallertauer Tradition, Liberty, Ultra","Very mild, pleasant, and slightly flowery, some spicy."
German Amber Lager,Hallertauer Gold (German),6-6.5%,"Crystal, Mt. Hood",Known for its aromatic properties similar to Hallertauer.
German Amber Lager,Hallertauer Mittelfrüh (German),3-5.5%,"German Tradition, Liberty, Ultra",Mild and pleasant.
German Amber Lager,Hallertauer Tradition (German),3.5-5.5%,"Crystal, Liberty",Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
German Amber Lager,Herkules (German),12-17%,,bittering hop
German Amber Lager,Hersbrucker (German),3-5.5%,"French Strisslespalt, Mt. Hood","Mild to semi-strong, pleasant, hoppy."
German Amber Lager,Horizon,11-14%,Magnum,"Spicy, floral. Low co-humulone results in clean tasting beer."
German Amber Lager,Liberty,3-6%,"Hallertauer, Hallertauer Tradition, Mt. Hood","Mild and clean aroma, slightly spicy character."
German Amber Lager,Magnum (German),12-16%,"Northdown, Northern Brewer",Known for bittering value and quality.
German Amber Lager,Magnum (U.S.),10-14%,"Northdown, Northern Brewer",High alpha variety
German Amber Lager,Merkur (German),12-15%,Magnum,"high-alpha, bittering hop"
German Amber Lager,Motueka (New Zealand),6.5-7.5%,"Czech Saaz, U.S. Saaz","Aroma hop that is fruity, tropical and citrusy."
German Amber Lager,Mt. Hood,3-8%,"Crystal, French Strisslespalt, Hersbrucker","Mild, pleasant, and clean, somewhat pungent and resiny."
German Amber Lager,Mt. Rainier (U.S.),5-8.1%,Hallertauer,only available in 2012
German Amber Lager,Pacifica (New Zealand),5-6%,Hallertau family,An aroma hop with some citrus and floral character
German Amber Lager,Pekko™ (U.S.),13-16%,Saaz,"A clean and pleasant variety with floral mint, herbal, citrus, thyme, cucumber, lemon, and sage characteristics. Sometimes described as “Saaz like.”"
German Amber Lager,Perle (German),6-8.5%,"Northern Brewer, U.S. Perle","Moderately intense, good and hoppy, fruity and a little spicy."
German Amber Lager,Perle (U.S.),6-9.5%,"Chinook, Cluster, Galena, Northern Brewer","Known for its aromatic and bittering properties, pleasant and slightly spicy."
German Amber Lager,Saaz (Czech),3-4.5%,U.S. Saaz,"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
German Amber Lager,Saaz (U.S.),3-5%,Czech Saaz,"Mild and pleasant, earthy and spicy."
German Amber Lager,Santiam,5-7.9%,"German Spalt, German Spalt Select, German Tettnanger",Noble characteristics.
